track_name,element,album_name,artist,lyric,line
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,Can you see yourself,1
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,Through the bruises when the makeup melts?,2
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,In the dark when all the power's out?,3
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,Everybody talks and gets around,4
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,When the money talks,5
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,Do you think it gets the point across?,6
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,It's a burning coal you're walking on,7
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,And in a second all the pain is gone,8
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,"I said ""It's enough""",9
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,I begged and I ran in circles,10
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,I climbed to the sun,11
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,And fell in a concrete jungle,12
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,"I said ""It's done""",13
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,You never know if you'll get what you wish for,14
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,I climbed to the sun,15
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,"And I fell, I fell",16
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,In a concrete junglе,17
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,Bad Omens,The coyotes cry,18
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,Bad Omens,And the sirеns pass and harmonize,19
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,Bad Omens,Fires starting every day and night,20
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,Bad Omens,Burn around us while we're trapped inside,21
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,Bad Omens,Wouldn't it be nice,22
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,Bad Omens,To play the game without a crooked die?,23
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,Bad Omens,In a world where you don't have to hide?,24
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,Bad Omens,You don't have to live in a disguise,25
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,"I said ""It's enough""",26
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,I begged and I ran in circles,27
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,I climbed to the sun,28
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,And fell in a concrete jungle,29
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,"I said ""It's done""",30
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,You never know if you'll get what you wish for,31
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,I climbed to the sun,32
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,"And I fell, I fell",33
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,In a concrete jungle,34
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,Bad Omens,And I'm the fucking king,35
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,Bad Omens,I want things that money can't buy,36
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,Bad Omens,The price is pain to make this right,37
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,Bad Omens,And I could buy a thousand lives,38
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,Bad Omens,So you can try to kill me but I can't fucking die,39
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,Bad Omens,Die,40
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,"I said ""It's enough""",41
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,I begged and I ran in circles,42
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,I climbed to the sun,43
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,And fell in a concrete jungle,44
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,"I said ""it's done""",45
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,You never know if you'll get what you wish for,46
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,I climbed to the sun,47
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,"And I fell, I fell",48
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,In a concrete jungle,49
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,Bad Omens,In a concrete jungle,50
CONCRETE JUNGLE,Outro,THE DEATH OF PEACE OF MIND,Bad Omens,And I'm the fucking king,51
Take Me First,Intro,THE DEATH OF PEACE OF MIND,Bad Omens,It's too late to turn back now,1
Take Me First,Intro,THE DEATH OF PEACE OF MIND,Bad Omens,"Oh God, I tried but I don't know how",2
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,I wanna be someone you used to hate,3
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,Without the memory of the pain,4
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,"I went too far, now we can't restart",5
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,"It's like we cut them brakes, tore 'em off the car",6
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,Ninety miles inside the dark,7
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,Familiar scars and electric hearts,8
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,Bad Omens,I know I'm gonna die in this bed I made,9
