track_name,element,album_name,lyric,line,artist
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Can you see yourself,1,Bad Omens
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Through the bruises when the makeup melts?,2,Bad Omens
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,In the dark when all the power's out?,3,Bad Omens
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Everybody talks and gets around,4,Bad Omens
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,When the money talks,5,Bad Omens
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,Do you think it gets the point across?,6,Bad Omens
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,It's a burning coal you're walking on,7,Bad Omens
CONCRETE JUNGLE,Verse 1,THE DEATH OF PEACE OF MIND,And in a second all the pain is gone,8,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,"I said ""It's enough""",9,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,I begged and I ran in circles,10,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,I climbed to the sun,11,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,And fell in a concrete jungle,12,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,"I said ""It's done""",13,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,You never know if you'll get what you wish for,14,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,I climbed to the sun,15,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,"And I fell, I fell",16,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,In a concrete junglе,17,Bad Omens
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,The coyotes cry,18,Bad Omens
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,And the sirеns pass and harmonize,19,Bad Omens
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,Fires starting every day and night,20,Bad Omens
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,Burn around us while we're trapped inside,21,Bad Omens
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,Wouldn't it be nice,22,Bad Omens
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,To play the game without a crooked die?,23,Bad Omens
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,In a world where you don't have to hide?,24,Bad Omens
CONCRETE JUNGLE,Verse 2,THE DEATH OF PEACE OF MIND,You don't have to live in a disguise,25,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,"I said ""It's enough""",26,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,I begged and I ran in circles,27,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,I climbed to the sun,28,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,And fell in a concrete jungle,29,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,"I said ""It's done""",30,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,You never know if you'll get what you wish for,31,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,I climbed to the sun,32,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,"And I fell, I fell",33,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,In a concrete jungle,34,Bad Omens
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,And I'm the fucking king,35,Bad Omens
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,I want things that money can't buy,36,Bad Omens
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,The price is pain to make this right,37,Bad Omens
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,And I could buy a thousand lives,38,Bad Omens
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,So you can try to kill me but I can't fucking die,39,Bad Omens
CONCRETE JUNGLE,Breakdown,THE DEATH OF PEACE OF MIND,Die,40,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,"I said ""It's enough""",41,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,I begged and I ran in circles,42,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,I climbed to the sun,43,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,And fell in a concrete jungle,44,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,"I said ""it's done""",45,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,You never know if you'll get what you wish for,46,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,I climbed to the sun,47,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,"And I fell, I fell",48,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,In a concrete jungle,49,Bad Omens
CONCRETE JUNGLE,Chorus,THE DEATH OF PEACE OF MIND,In a concrete jungle,50,Bad Omens
CONCRETE JUNGLE,Outro,THE DEATH OF PEACE OF MIND,And I'm the fucking king,51,Bad Omens
Nowhere To Go,Verse 1,THE DEATH OF PEACE OF MIND,Why's this always gotta happen to me? I should have known,1,Bad Omens
Nowhere To Go,Verse 1,THE DEATH OF PEACE OF MIND,"I never fail to never learn from mistakes, still throwing stones",2,Bad Omens
Nowhere To Go,Verse 1,THE DEATH OF PEACE OF MIND,"Blood-signed, we made a pact",3,Bad Omens
Nowhere To Go,Verse 1,THE DEATH OF PEACE OF MIND,"Yours dried out, you took it back",4,Bad Omens
